DrMundo,Karthus,Ahri,Samira,Thresh,Garen,Shaco,Diana,Twitch,Rell,-137,100,NA1_4998514481
Irelia,Darius,Xerath,Anivia,Sejuani,Diana,Jayce,Maokai,Neeko,Kaisa,9391,100,NA1_4998528846
DrMundo,Karthus,Ahri,Samira,Thresh,Garen,Shaco,Diana,Twitch,Rell,-137,100,NA1_4998514481
Jayce,Evelynn,Yone,Varus,Galio,Gnar,Rengar,Ekko,Kaisa,Nautilus,5665,100,NA1_4998107450
DrMundo,Vi,Orianna,MissFortune,Nautilus,Garen,LeeSin,Leblanc,Caitlyn,Janna,8416,100,NA1_4997420827
DrMundo,JarvanIV,Galio,MissFortune,Morgana,Malphite,Brand,TwistedFate,Sivir,Lulu,7667,100,NA1_4997391180
Garen,Lillia,Yasuo,Caitlyn,Senna,Kayle,Belveth,Qiyana,Jhin,Thresh,11746,100,NA1_5001169199
Urgot,MasterYi,Talon,Draven,Thresh,Sion,Lillia,Ahri,Caitlyn,Brand,13377,100,NA1_5001149318
Karma,Evelynn,Azir,MissFortune,Leona,Nasus,MonkeyKing,Katarina,Tristana,Seraphine,8318,100,NA1_5001130528
MonkeyKing,Viego,Katarina,Veigar,Rell,Quinn,Rammus,Fizz,Aphelios,Brand,-12077,200,NA1_5001102024
Camille,Karthus,Brand,Jinx,Thresh,Sion,JarvanIV,Kassadin,Caitlyn,Rumble,15364,100,NA1_5000960020
Kayle,Sejuani,Seraphine,Draven,Morgana,Darius,Khazix,Cassiopeia,Jhin,Braum,-12461,200,NA1_5001085081
Garen,Lillia,Yasuo,Samira,Pyke,Camille,Kayn,Ahri,Kaisa,Poppy,13615,100,NA1_5001055230
Sett,Pantheon,Veigar,Jhin,Nami,Shen,Kayn,AurelionSol,Draven,Thresh,-13863,200,NA1_5001013178
Garen,Lillia,Hwei,Jhin,Morgana,Yasuo,Karthus,Veigar,Kaisa,Rakan,11007,100,NA1_5000701827
Pantheon,Khazix,Viktor,Smolder,Orianna,Darius,Amumu,Fizz,Samira,Blitzcrank,6720,100,NA1_5000661116
Garen,Kayn,AurelionSol,Jhin,Poppy,DrMundo,Brand,Annie,Samira,Lux,11846,100,NA1_5001121688
Garen,Kayn,Sylas,Aphelios,Lux,Yone,Viego,Azir,Jhin,TahmKench,-9165,200,NA1_5000219334
Pantheon,Ivern,Katarina,Samira,Nautilus,Renekton,Poppy,Swain,Ashe,Janna,9431,100,NA1_5000193772
